Major_Category,School_Type
Education,"State, Party, Liberal Arts, Ivy League"
Psychology & Social Work,"State, Party, Liberal Arts, Ivy League"
Biology & Life Science,"State, Party, Ivy League"
Arts,"State, Party, Liberal Arts"
Humanities & Liberal Arts,"State, Party, Liberal Arts, Ivy League"
Health,"State, Party, Liberal Arts"
Industrial Arts & Consumer Services,"State, Party, Engineering"
Agriculture & Natural Resources,"State, Party, Liberal Arts"
Social Science,"State, Party, Liberal Arts, Ivy League"
Communications & Journalism,"State, Party, Liberal Arts, Ivy League"
Business,"State, Party, Liberal Arts, Ivy League"
Law & Public Policy,"State, Party, Liberal Arts, Ivy League"
Physical Sciences,"State, Party, Engineering, Ivy League"
Computers & Mathematics,"State, Party, Engineering, Ivy League"
Interdisciplinary,"State, Engineering, Ivy League"
Engineering,"State, Engineering, Ivy League"